Time,mq2_GI,mq4_GI
10:40:00,58,95
10:50:00,58,95
11:00:00,58,95
11:10:00,58,95
11:20:00,58,95
11:30:00,58,95
11:40:00,58,95
11:50:00,58,95
12:00:00,58,95
12:10:00,58,95
12:20:00,58,95
12:30:00,58,95
12:40:00,58,95
12:50:00,58,95
13:00:00,58,95
13:10:00,58,95
13:20:00,58,95
13:30:00,58,95
13:40:00,58,95
13:50:00,58,95
14:00:00,58,95
14:10:00,58,95
14:20:00,58,95
14:30:00,58,95
14:40:00,58,95
14:50:00,58,95
15:00:00,58,95
15:10:00,58,95
15:20:00,58,95
15:30:00,59,95
15:40:00,59,95
15:50:00,59,95
16:00:00,59,95
16:10:00,59,96
16:20:00,59,96
16:30:00,59,96
16:40:00,59,96
16:50:00,59,96
17:00:00,59,96
17:10:00,59,96
17:20:00,59,96
17:30:00,59,96
17:40:00,59,96
17:50:00,59,96
18:00:00,59,96
18:10:00,59,96
18:20:00,59,96
18:30:00,59,96
18:40:00,59,96
18:50:00,59,96
19:00:00,59,96
19:10:00,59,96
19:20:00,59,96
19:30:00,59,96
19:40:00,59,96
19:50:00,59,96
20:00:00,59,96
20:10:00,59,96
20:20:00,59,96
20:30:00,59,96
20:40:00,59,96
20:50:00,59,96
21:00:00,59,96
21:10:00,59,96
21:20:00,59,96
21:30:00,59,96
21:40:00,59,96
21:50:00,59,96
22:00:00,60,96
22:10:00,61,97
22:20:00,61,97
22:30:00,61,97
22:40:00,61,98
22:50:00,61,98
23:00:00,61,98
23:10:00,61,98
23:20:00,61,98
23:30:00,61,98
23:40:00,62,98
23:50:00,62,98
0:00:00,62,98
0:10:00,62,98
0:20:00,62,98
0:30:00,62,98
0:40:00,62,98
0:50:00,62,98
1:00:00,62,98
1:10:00,62,98
1:20:00,61,98
1:30:00,61,98
1:40:00,61,98
1:50:00,61,98
2:00:00,61,98
2:10:00,61,98
2:20:00,60,98
2:30:00,60,97
2:40:00,60,97
2:50:00,60,97
3:00:00,60,97
3:10:00,60,97
3:20:00,60,97
3:30:00,60,97
3:40:00,60,97
3:50:00,60,97
4:00:00,60,97
4:10:00,60,97
4:20:00,60,98
4:30:00,60,98
4:40:00,60,98
4:50:00,60,98
5:00:00,62,98
5:10:00,63,99
5:20:00,64,99
5:30:00,66,100
5:40:00,66,100
5:50:00,68,100
6:00:00,68,100
6:10:00,69,100
6:20:00,69,100
6:30:00,69,100
6:40:00,69,100
6:50:00,69,100
7:00:00,70,100
7:10:00,70,100
7:20:00,70,100
7:30:00,70,100
7:40:00,70,100
7:50:00,70,100
8:00:00,70,100
8:10:00,70,100
8:20:00,70,100
8:30:00,70,100
8:40:00,70,100
8:50:00,69,100
9:00:00,68,100
9:10:00,68,100
9:20:00,68,100
9:30:00,68,100
9:40:00,68,100
9:50:00,67,100
10:00:00,67,100
10:10:00,67,100
10:20:00,67,100
10:30:00,67,100
10:40:00,67,100
10:50:00,67,100
11:00:00,67,100
11:10:00,67,100
11:20:00,67,100
11:30:00,67,100
11:40:00,67,100
11:50:00,67,100
12:00:00,67,100
12:10:00,67,100
12:20:00,67,100
12:30:00,67,100
12:40:00,67,100
12:50:00,67,100
13:00:00,67,100
13:10:00,67,100
13:20:00,68,100
13:30:00,67,100
13:40:00,67,100
13:50:00,67,100
14:00:00,67,100
14:10:00,68,100
14:20:00,68,100
14:30:00,68,100
14:40:00,68,100
14:50:00,68,100
15:00:00,68,100
15:10:00,68,100
15:20:00,68,100
15:30:00,68,100
15:40:00,68,100
15:50:00,68,100
16:00:00,68,100
16:10:00,68,100
16:20:00,68,100
16:30:00,68,100
16:40:00,68,100
16:50:00,68,100
17:00:00,68,1000:10:00
17:10:00,66,100
17:20:00,66,100
17:30:00,66,100
17:40:00,65,100
17:50:00,65,100
18:00:00,65,100
18:10:00,65,100
18:20:00,65,100
18:30:00,65,100
18:40:00,66,100
18:50:00,66,100
19:00:00,66,100
19:10:00,66,100
19:20:00,66,100
19:30:00,66,100
19:40:00,66,100
19:50:00,66,100
20:00:00,65,100
20:10:00,65,100
20:20:00,65,100
20:30:00,65,99
20:40:00,65,99
20:50:00,65,99
21:00:00,65,99
21:10:00,65,99
21:20:00,65,99
21:30:00,65,99
21:40:00,65,99
21:50:00,65,99
22:00:00,66,100
22:10:00,68,100
22:20:00,69,100
22:30:00,69,100
22:40:00,70,100
22:50:00,70,100
23:00:00,71,100
23:10:00,71,100
23:20:00,71,100
23:30:00,72,100
23:40:00,72,100
23:50:00,72,100
0:00:00,72,100
0:10:00,72,100
0:20:00,72,100
0:30:00,73,100
0:40:00,73,100
0:50:00,73,100
1:00:00,73,100
1:10:00,73,100
1:20:00,73,100
1:30:00,73,100
1:40:00,73,100
1:50:00,73,100
2:00:00,73,100
2:10:00,73,100
2:20:00,73,100
2:30:00,73,100
2:40:00,73,100
2:50:00,73,100
3:00:00,74,100
3:10:00,74,100
3:20:00,74,100
3:30:00,74,100
3:40:00,74,100
3:50:00,75,100
4:00:00,75,100
4:10:00,76,100
4:20:00,76,100
4:30:00,75,100
4:40:00,75,100
4:50:00,75,100
5:00:00,75,100
5:10:00,75,100
5:20:00,75,100
5:30:00,75,100
5:40:00,75,100
5:50:00,75,100
6:00:00,75,100
6:10:00,75,100
6:20:00,74,100
6:30:00,74,100
6:40:00,74,100
6:50:00,74,100
7:00:00,74,100
7:10:00,74,100
7:20:00,74,100
7:30:00,74,100
7:40:00,74,100
7:50:00,73,100
8:00:00,73,100
8:10:00,73,100
8:20:00,73,100
8:30:00,73,100
8:40:00,73,100
8:50:00,73,100
9:00:00,73,100
9:10:00,73,100
9:20:00,73,100
9:30:00,73,100
9:40:00,73,100
9:50:00,73,100
10:00:00,73,100
10:10:00,73,100
10:20:00,73,100
10:30:00,73,100
10:40:00,73,100
10:50:00,73,100
11:00:00,73,100
11:10:00,74,100
11:20:00,74,100
11:30:00,74,100
11:40:00,74,100
11:50:00,74,100
12:00:00,74,100
12:10:00,74,100
12:20:00,74,100
12:30:00,74,100
12:40:00,74,100
12:50:00,74,100
13:00:00,74,100
13:10:00,74,100
13:20:00,74,100
13:30:00,74,100
13:40:00,74,100
13:50:00,74,100
14:00:00,74,100
14:10:00,74,100
14:20:00,74,100
14:30:00,74,100
14:40:00,74,100
14:50:00,74,100
15:00:00,75,100
15:10:00,75,100
15:20:00,75,100
15:30:00,75,100
15:40:00,75,100
15:50:00,75,100
16:00:00,75,100
16:10:00,75,100
16:20:00,75,100
16:30:00,75,100
16:40:00,75,100
16:50:00,75,100
17:00:00,75,100
17:10:00,74,100
17:20:00,74,100
17:30:00,73,100
