Time,mq2_GI,mq4_GI,,,,,,,,,,,,
38:00:00,62,95,,,,,,,,,,,,
38:10:00,62,95,,,,,,,,,,,,
38:20:00,62,95,,,,,,,,,,,,
38:30:00,62,95,,,,,,,,,,,,
38:40:00,62,95,,,,,,,,,,,,
38:50:00,62,95,,,,,,,,,,,,
39:00:00,62,95,,,,,,,,,,,,
39:10:00,62,95,,,,,,,,,,,,
39:20:00,62,95,,,,,,,,,,,,
39:30:00,62,95,,,,,,,,,,,,
39:40:00,62,95,,,,,,,,,,,,
39:50:00,62,96,,,,,,,,,,,,
40:00:00,62,96,,,,,,,,,,,,
40:10:00,62,96,,,,,,,,,,,,
40:20:00,62,96,,,,,,,,,,,,
40:30:00,62,96,,,,,,,,,,,,
40:40:00,62,96,,,,,,,,,,,,
40:50:00,62,96,,,,,,,,,,,,
41:00:00,62,96,,,,,,,,,,,,
41:10:00,62,96,,,,,,,,,,,,
41:20:00,62,96,,,,,,,,,,,,
41:30:00,62,96,,,,,,,,,,,,
41:40:00,62,96,,,,,,,,,,,,
41:50:00,62,96,,,,,,,,,,,,
42:00:00,60,94,,,,,,,,,,,,
0:10:00,52,85,,,,,,,,,,,,
0:20:00,52,84,,,,,,,,,,,,
0:30:00,52,84,,,,,,,,,,,,
0:40:00,52,84,,,,,,,,,,,,
0:50:00,52,84,,,,,,,,,,,,
1:00:00,52,84,,,,,,,,,,,,
1:10:00,53,84,,,,,,,,,,,,
1:20:00,53,84,,,,,,,,,,,,
1:30:00,53,84,,,,,,,,,,,,
1:40:00,53,84,,,,,,,,,,,,
1:50:00,53,84,,,,,,,,,,,,
2:00:00,54,84,,,,,,,,,,,,
2:10:00,54,84,,,,,,,,,,,,
2:20:00,54,84,,,,,,,,,,,,
2:30:00,54,84,,,,,,,,,,,,
2:40:00,54,85,,,,,,,,,,,,
2:50:00,54,85,,,,,,,,,,,,
3:00:00,54,85,,,,,,,,,,,,
3:10:00,54,85,,,,,,,,,,,,
3:20:00,55,85,,,,,,,,,,,,
3:30:00,55,85,,,,,,,,,,,,
3:40:00,55,85,,,,,,,,,,,,
3:50:00,55,85,,,,,,,,,,,,
4:00:00,55,85,,,,,,,,,,,,
4:10:00,55,85,,,,,,,,,,,,
4:20:00,55,85,,,,,,,,,,,,
4:30:00,55,85,,,,,,,,,,,,
4:40:00,55,86,,,,,,,,,,,,
4:50:00,55,86,,,,,,,,,,,,
5:00:00,56,86,,,,,,,,,,,,
5:10:00,56,86,,,,,,,,,,,,
5:20:00,56,86,,,,,,,,,,,,
5:30:00,56,86,,,,,,,,,,,,
5:40:00,56,86,,,,,,,,,,,,
5:50:00,56,86,,,,,,,,,,,,
6:00:00,56,86,,,,,,,,,,,,
6:10:00,56,86,,,,,,,,,,,,
6:20:00,56,86,,,,,,,,,,,,
6:30:00,56,86,,,,,,,,,,,,
6:40:00,56,86,,,,,,,,,,,,
6:50:00,56,86,,,,,,,,,,,,
7:00:00,56,86,,,,,,,,,,,,
7:10:00,56,86,,,,,,,,,,,,
7:20:00,56,86,,,,,,,,,,,,
7:30:00,56,86,,,,,,,,,,,,
7:40:00,56,86,,,,,,,,,,,,
7:50:00,56,86,,,,,,,,,,,,
8:00:00,56,86,,,,,,,,,,,,
8:10:00,56,86,,,,,,,,,,,,
8:20:00,56,86,,,,,,,,,,,,
8:30:00,56,86,,,,,,,,,,,,
8:40:00,56,86,,,,,,,,,,,,
8:50:00,56,86,,,,,,,,,,,,
9:00:00,56,86,,,,,,,,,,,,
9:10:00,56,87,,,,,,,,,,,,
9:20:00,56,87,,,,,,,,,,,,
9:30:00,56,87,,,,,,,,,,,,
9:40:00,56,87,,,,,,,,,,,,
9:50:00,56,87,,,,,,,,,,,,
10:00:00,56,87,,,,,,,,,,,,
10:10:00,56,87,,,,,,,,,,,,
10:20:00,56,87,,,,,,,,,,,,
10:30:00,56,87,,,,,,,,,,,,
10:40:00,56,87,,,,,,,,,,,,
10:50:00,56,87,,,,,,,,,,,,
11:00:00,56,87,,,,,,,,,,,,
11:10:00,56,87,,,,,,,,,,,,
11:20:00,56,87,,,,,,,,,,,,
11:30:00,56,87,,,,,,,,,,,,
11:40:00,56,87,,,,,,,,,,,,
11:50:00,56,87,,,,,,,,,,,,
12:00:00,56,87,,,,,,,,,,,,
12:10:00,56,87,,,,,,,,,,,,
12:20:00,56,88,,,,,,,,,,,,
12:30:00,56,88,,,,,,,,,,,,
12:40:00,56,88,,,,,,,,,,,,
12:50:00,56,88,,,,,,,,,,,,
13:00:00,56,88,,,,,,,,,,,,
13:10:00,56,88,,,,,,,,,,,,
13:20:00,56,88,,,,,,,,,,,,
13:30:00,56,88,,,,,,,,,,,,
13:40:00,56,88,,,,,,,,,,,,
13:50:00,56,88,,,,,,,,,,,,
14:00:00,56,88,,,,,,,,,,,,
14:10:00,56,88,,,,,,,,,,,,
