Time,mq2_ppm,mq4_ppm
307200000,13,997
307800000,13,997
308400000,13,997
309000000,14,1009
309600000,14,1009
310200000,14,1009
310800000,14,1009
311400000,14,1022
312000000,14,1035
312600000,14,1035
313200000,14,1047
313800000,14,1009
314400000,14,1009
315000000,14,1035
315600000,14,1047
316200000,14,1060
316800000,15,1060
317400000,15,1074
318000000,15,1074
318600000,15,1074
319200000,15,1087
319800000,15,1087
320400000,15,1087
321000000,15,1087
321600000,15,1087
322200000,15,1101
322800000,15,1101
323400000,15,1101
324000000,15,1114
324600000,15,1114
325200000,15,1114
325800000,15,1143
326400000,15,1143
327000000,15,1128
327600000,15,1143
328200000,15,1157
328800000,15,1157
329400000,15,1157
330000000,15,1157
330600000,15,1157
331200000,15,1171
331800000,15,1157
332400000,16,1186
333000000,16,1157
333600000,16,1171
334200000,16,1171
334800000,16,1171
335400000,16,1186
336000000,16,1186
336600000,16,1186
337200000,16,1186
337800000,16,1186
338400000,16,1186
339000000,16,1201
339600000,16,1201
340200000,16,1201
340800000,16,1201
341400000,16,1216
342000000,16,1201
342600000,16,1201
343200000,16,1216
343800000,16,1216
344400000,16,1216
345000000,16,1232
345600000,16,1232
346200000,17,1232
346800000,17,1232
347400000,17,1232
348000000,17,1279
348600000,17,1279
349200000,17,1295
349800000,17,1295
350400000,17,1312
351000000,17,1312
351600000,17,1312
352200000,17,1312
352800000,17,1312
353400000,17,1312
354000000,17,1312
354600000,17,1312
355200000,17,1328
355800000,17,1312
356400000,17,1312
357000000,17,1328
357600000,17,1328
358200000,18,1328
358800000,18,1328
359400000,18,1345
360000000,18,1328
360600000,18,1328
361200000,18,1345
361800000,18,1345
362400000,18,1345
363000000,18,1345
363600000,18,1362
364200000,18,1362
364800000,18,1362
365400000,18,1362
366000000,18,1345
366600000,18,1362
367200000,18,1362
367800000,18,1362
368400000,18,1362
369000000,18,1362
369600000,19,1362
370200000,19,1362
370800000,19,1362
371400000,19,1380
372000000,19,1380
372600000,19,1380
373200000,19,1380
373800000,19,1397
374400000,19,1397
375000000,19,1397
375600000,19,1397
376200000,19,1397
376800000,19,1397
377400000,20,1415
378000000,20,1415
378600000,20,1415
379200000,20,1433
379800000,20,1415
380400000,20,1433
381000000,20,1433
381600000,20,1433
382200000,20,1433
382800000,20,1433
383400000,20,1433
384000000,20,1433
384600000,21,1452
385200000,21,1452
385800000,21,1452
386400000,21,1452
387000000,21,1452
387600000,21,1452
388200000,21,1452
388800000,21,1452
389400000,21,1452
390000000,21,1452
390600000,21,1470
391200000,21,1470
391800000,21,1470
392400000,22,1470
393000000,22,1470
393600000,22,1470
394200000,22,1470
394800000,22,1470
395400000,22,1470
396000000,22,1470
396600000,22,1470
397200000,22,1489
397800000,23,1489
398400000,23,1489
399000000,23,1489
399600000,23,1528
400200000,23,1489
400800000,23,1470
401400000,23,1489
402000000,23,1470
402600000,23,1489
403200000,24,1489
403800000,24,1489
404400000,24,1489
405000000,24,1489
405600000,24,1489
406200000,24,1489
406800000,24,1489
407400000,25,1508
408000000,25,1508
408600000,25,1508
409200000,25,1528
409800000,25,1508
410400000,25,1508
411000000,25,1528
411600000,26,1548
412200000,26,1568
412800000,26,1548
413400000,26,1548
414000000,26,1508
414600000,26,1508
415200000,26,1528
415800000,26,1548
416400000,26,1528
417000000,26,1528
417600000,26,1508
418200000,26,1470
418800000,26,1489
419400000,26,1470
420000000,26,1470
420600000,26,1489
421200000,26,1489
421800000,26,1489
422400000,26,1528
423000000,26,1528
423600000,26,1508
424200000,27,1528
424800000,27,1528
425400000,27,1528
426000000,27,1528
426600000,27,1508
427200000,27,1528
427800000,27,1508
428400000,27,1528
429000000,27,1528
429600000,27,1528
430200000,27,1528
430800000,27,1528
431400000,27,1548
432000000,27,1548
432600000,27,1528
433200000,27,1528
433800000,27,1528
434400000,27,1548
435000000,27,1548
435600000,27,1548
436200000,27,1548
436800000,27,1548
437400000,27,1528
438000000,27,1528
